method,terrain,metric,mean,std,max,min,smoothed_mean,smoothed_max
ablation_no_forward,global,Attention/front_region_weight,0.3405,0.0028,0.3512,0.3303,0.3405,0.3444
ablation_no_forward,global,Attention/top10_ratio,0.1712,0.0025,0.1806,0.1618,0.1712,0.1748
ablation_no_forward,global,Attention/max_weight,0.0205,0.0004,0.0220,0.0191,0.0205,0.0212
ablation_no_edge,stepping_stones,traverse_rate,36.9459,3.2695,49.3221,26.6401,36.9390,40.8063
ablation_no_edge,stepping_stones,survival_rate,34.5883,7.0020,62.0000,14.0000,34.5783,43.3123
ablation_no_edge,stepping_stones,success_rate,2.4670,2.2160,14.0000,0.0000,2.4636,5.3738
ablation_no_edge,stepping_stones,success@0.5,23.9478,6.2633,48.0000,2.0000,23.9388,30.6526
ablation_no_edge,stepping_stones,success@0.8,5.3974,3.2080,18.0000,0.0000,5.3956,9.0716
ablation_no_edge,parkour,traverse_rate,39.5693,3.3527,51.2250,27.1199,39.5706,43.1252
ablation_no_edge,parkour,survival_rate,43.1251,7.1397,68.0000,18.0000,43.1080,53.9642
ablation_no_edge,parkour,success_rate,3.0158,2.4466,16.0000,0.0000,3.0178,5.8388
ablation_no_edge,parkour,success@0.5,30.1107,6.5316,58.0000,10.0000,30.1098,38.9942
ablation_no_edge,parkour,success@0.8,6.7087,3.5066,24.0000,0.0000,6.7127,10.3700
ablation_no_edge,gap,traverse_rate,48.8195,3.5160,61.8664,36.1830,48.8172,52.3361
ablation_no_edge,gap,survival_rate,77.8019,6.1690,96.0000,52.0000,77.7856,84.5525
ablation_no_edge,gap,success_rate,5.4210,3.3117,18.0000,0.0000,5.4255,9.7696
ablation_no_edge,gap,success@0.5,44.9134,7.0780,68.0000,18.0000,44.9067,53.8557
ablation_no_edge,gap,success@0.8,11.0999,4.5795,32.0000,0.0000,11.1026,17.3189
ablation_no_edge,stair,traverse_rate,41.6085,3.3975,55.3981,29.6485,41.6064,46.0827
ablation_no_edge,stair,survival_rate,64.0881,7.4579,90.0000,34.0000,64.0731,72.6658
ablation_no_edge,stair,success_rate,3.0334,2.4785,16.0000,0.0000,3.0312,6.8789
ablation_no_edge,stair,success@0.5,34.9623,7.0240,62.0000,14.0000,34.9575,43.6595
ablation_no_edge,stair,success@0.8,5.4715,3.3301,22.0000,0.0000,5.4711,10.4500
ablation_no_edge,global,Episode/lin_vel_tracking_error,0.2088,0.0095,0.2749,0.1839,0.2088,0.2198
ablation_no_edge,global,Episode/rew_feet_slippage,-0.0605,0.0022,-0.0529,-0.0718,-0.0605,-0.0576
ablation_no_edge,global,Attention/entropy_avg,4.9468,0.0054,4.9641,4.9289,4.9468,4.9557
ablation_no_edge,global,Attention/prior_attn_cosine,0.9740,0.0006,0.9760,0.9715,0.9740,0.9750
ablation_no_edge,global,Attention/front_region_weight,0.2999,0.0026,0.3089,0.2898,0.2999,0.3044
ablation_no_edge,global,Attention/top10_ratio,0.1209,0.0013,0.1256,0.1163,0.1210,0.1228
ablation_no_edge,global,Attention/max_weight,0.0135,0.0002,0.0141,0.0128,0.0135,0.0138
